Station,Station ID,Part of total tv,Start Date,End Date,No broadcast,Programs logs,Spots logs
DR1,1,Yes,1/1/1992,N/A,,Yes,
TV 2,2,Yes,1/1/1992,N/A,,Yes,Yes
TV3,3,Yes,1/1/1992,N/A,,Yes,Yes
Kanal 4,4,Yes,1/1/1992,N/A,,Yes,Yes
DR2,5,Yes,8/30/1996,N/A,,Yes,
TV3+,10,Yes,3/23/1995,N/A,,Yes,Yes
Kanal 5,11,Yes,12/29/1999,N/A,,Yes,Yes
Disney XD,19,Yes,9/12/2009,,,Yes,Yes
BBC Prime,20,Yes,6/22/1995,10/15/2007,,,
BBC World,21,Yes,6/22/1995,10/15/2007,,,
CNN,22,Yes,1/1/1992,10/15/2007,,,
Animal Planet,23,Yes,10/1/1997,N/A,,,
Discovery Channel,24,Yes,1/1/1992,N/A,,Yes,Yes
DK4,25,Yes,12/1/1994,N/A,,,
Eurosport,26,Yes,1/1/1992,N/A,,,
MTV,27,Yes,1/1/1992,N/A,,Yes,Yes
NDR,28,Yes,1/1/1992,10/15/2007,,,
NGC danmark,29,Yes,8/18/1998,N/A,,Yes,Yes
PRO7,30,Yes,1/2/1992,10/15/2007,,,
RTL+,31,Yes,1/1/1992,10/15/2007,,,
SAT 1,32,Yes,1/1/1992,10/15/2007,,,
SKY News,33,Yes,1/11/1992,10/29/2006,,,
SV1,34,Yes,1/1/1992,10/15/2007,,,
SV2,35,Yes,1/1/1992,10/15/2007,,,
Cartoon Network,36,Yes,9/19/1993,N/A,,Yes,Yes
TV 5,37,Yes,1/3/1992,10/15/2007,,,
TV4,38,Yes,1/1/1992,10/15/2007,,,
TV6,39,Yes,10/5/1994,10/16/2007,,,
ZDF,40,Yes,1/1/1992,10/15/2007,,,
TV2 Norge,41,Yes,12/13/1996,10/15/2007,,,
NRK,42,Yes,1/1/1992,10/15/2007,,,
Hallmark,43,Yes,1/1/2000,N/A,,Yes,Yes
VH-1 Danmark,44,Yes,5/19/1998,,,Yes,Yes
TV1000,45,Yes,7/1/1995,1/29/2008,,,
TV1000 Nordic,46,Yes,8/8/1995,1/29/2008,,,
TV3 Norge,47,Yes,3/17/1994,1/29/2008,,,
TV3 Sverige,48,Yes,2/14/1994,8/28/2008,,,
Canal+ Mix ,49,Yes,9/2/1997,6/8/2007,,,
Viasat Sport Sverige,50,Yes,1/5/2000,7/23/2004,,,
TV 2 Zulu,51,Yes,12/10/2000,N/A,,Yes,Yes
TVBIO+,52,Yes,11/10/2000,4/6/2002,,,
Jetix,53,Yes,11/10/2000,9/11/2009,,Yes,Yes
TCM,54,Yes,11/10/2000,N/A,,,
CNBC,55,Yes,1/20/2001,10/15/2007,,,
Infokanaler,56,Yes,9/12/2001,10/15/2007,,,
Viasat Sport 1,57,Yes,12/27/2001,4/11/2007,,,
Ønskekanalen,58,Yes,2/1/2002,2/1/2002,,,
Disney,59,Yes,2/28/2003,N/A,,,
TDC Ekstra,60,Yes,1/7/2004,7/31/2007,,,
Viasat Sport 2,62,Yes,2/1/2004,5/22/2007,,,
Viasat Sport 3,63,Yes,1/31/2004,N/A,,,
TV 2 Charlie,64,Yes,9/25/2004,N/A,,Yes,Yes
ARD,65,Yes,7/1/2004,10/15/2007,,,
Blue Hustler,66,Yes,7/1/2004,10/15/2007,,,
VoiceTV,67,Yes,9/14/2004,,,Yes,Yes
MTV nordic,68,Yes,5/27/2005,10/23/2005,,,
Toon Disney,69,Yes,8/12/2005,N/A,,,
Kanal København,70,Yes,1/1/1992,10/15/2007,,,
TV 2 Film,71,Yes,11/1/2005,N/A,,Yes,
Travel and Living      ,72,Yes,2/21/2006,N/A,,,
Discovery Science      ,73,Yes,2/21/2006,N/A,,,
Discovery World ,74,Yes,2/21/2006,N/A,,,
Canal+ Sport DK        ,75,Yes,2/21/2006,10/13/2007,,,
Canal+ Film 1          ,76,Yes,2/21/2006,10/15/2007,,,
Canal+ Film 2          ,77,Yes,2/22/2006,10/15/2007,,,
Viasat Explorer        ,78,Yes,2/21/2006,N/A,,,
Viasat Golf,79,Yes,2/24/2006,N/A,,,
TV1000 Classic         ,80,Yes,2/21/2006,10/16/2007,,,
TV1000 + 1             ,81,Yes,2/21/2006,1/28/2008,,,
Viasat History         ,82,Yes,2/21/2006,N/A,,,
Playhouse Disney,84,Yes,10/1/2006,1/30/2008,,,
6'eren ,85,Yes,1/1/2007,N/A,,Yes,Yes
TV 2 News,86,Yes,12/1/2006,N/A,,Yes,Yes
TV 2 Sport,87,Yes,4/11/2007,N/A,,Yes,Yes
DR Update,88,Yes,6/15/2007,10/15/2007,,Yes,
Nickelodeon Danmark,89,Yes,7/13/2007,N/A,,Yes,Yes
Infokanaler,90,Yes,1/24/2008,,,,
TDC Ekstra,91,Yes,1/24/2008,,,Yes - To identify channel as random channels broadcast from month to month,
Boomerang ,92,Yes,4/1/2008,,,Yes,Yes
NickelodeonSCAN ,93,Yes,10/10/2008,,,,
DR Ramasjang ,94,Yes,11/1/2009,,,,
DR K,95,Yes,11/1/2009,,,,
DR HD,96,Yes,11/1/2009,,,,
TV3 PULS,97,Yes,3/23/2009,,,Yes,Yes
Canal 9,98,Yes,7/17/2009,N/A,,Yes,Yes
Unknown live,99,Yes,1/1/1992,N/A,,,
Games/DVD/Etc.,100,No,1/1/2008,,,,
NRK1,101,Yes,4/8/2008,,,,
NRK2,102,Yes,4/8/2008,,,,
NRK3,103,Yes,4/8/2008,,,,
Sportn Norge,104,Yes,4/8/2008,,,,
TV2 Norge,105,Yes,7/9/2008,,,,
TV2 Film Norge,106,Yes,4/8/2008,,,,
TV2 Nyhetskanalen Norge,107,Yes,4/8/2008,,,,
TV2 Zebra Norge,108,Yes,4/8/2008,,,,
Viasat 4 Norge    ,109,Yes,4/8/2008,,,,
BBC Knowledge    ,110,Yes,12/1/2008,,,,
BBC Lifestyle    ,111,Yes,12/1/2008,,,,
BBC Entertainment,112,Yes,12/1/2008,,,,
NGC Skandinavien,113,Yes,9/24/2009,,,,
Regional TV,114,Yes,11/1/2009,,,,
Eurosport 2,115,Yes,6/21/2010,,,,
VH-1 Europe,116,Yes,12/1/2010,,,,
Nick Jr.,117,Yes,12/1/2010,,,,
TNT,118,Yes,3/23/2011,,,,
TLC Danmark,119,Yes,10/6/2011,,,Yes,Yes
Kanal Hovedstaden,120,Yes,1/11/2012,N/A,,,
Eurosport Denmark,121,Yes,5/15/2012,N/A,,Yes,Yes
DR1 Analog,230,Yes,See note,,,,
DR1 DTT,231,Yes,See note,,,,
DR1 SAT,232,Yes,See note,,,,
DR2 Analog,234,Yes,See note,,,,
DR2 DTT,235,Yes,See note,,,,
DR2 SAT,236,Yes,See note,,,,
DR UPDATE DTT,238,Yes,See note,,,,
DR UPDATE SAT,239,Yes,See note,,,,
TEST1,250,Yes,4/2/2008,,,,
TEST2,251,Yes,4/2/2008,,,,
TEST3,252,Yes,4/2/2008,,,,
TEST4,253,Yes,4/2/2008,,,,
TEST5,254,Yes,4/2/2008,,,,
Unmatched,300,No,4/16/2007,N/A,,,
Video,500,No,1/1/1992,N/A,,,
DR  TXT,901,No,5/18/1992,N/A,,,
TV 2 TXT,902,No,5/18/1992,N/A,,,
TV3 TXT,903,No,7/31/1994,N/A,,,
TVD2 TXT ??,904,No,N/A ??,N/A ??,,,
DR2 TXT,905,No,9/20/1996,N/A,,,
Kanal Hovedstaden TXT,906,No,1/11/2012,N/A,,,
TVD1 TXT,911,No,N/A ??,N/A ??,,,
TV3 PULS TXT,912,No,3/24/2009,N/A,,,
TV 2 Zulu TXT,951,No,11/10/2000,N/A,,,
TV 2 Charlie TXT,952,No,10/19/2004,N/A,,,
TV 2 Film TXT,953,No,11/2/2005,N/A,,,
TV 2 News TXT,954,No,12/1/2006,N/A,,,
6'eren TXT,955,No,1/1/2007,N/A,,,
VH-1 TXT,956,No,4/1/2008,,,,
Nickelodeon TXT,957,No,4/3/2008,,,,
TV 2 Sport TXT,987,No,4/11/2007,N/A,,,
DR Ramasjang TXT,994,No,6/7/2011,,,,
DR K TXT,995,No,6/7/2011,,,,
DR HD TXT,996,No,6/7/2011,,,,
DR Update TXT,997,No,6/7/2011,,,,
Other TXT,999,No,5/18/1992,N/A,,,
